Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),Custom label (SKU),Category ID,Title,UPC,Price,Quantity,Item photo URL,Condition ID,Description,Format,C:Brand,C:Size,C:Color,C:Department
Draft,A1-MD-0001,,Nike shorts,,12,1,,3000,"Nike shorts

Brand: Nike
Department: Not Confirmed
Category: Athletic Shorts
Size: See measurements in photos
Condition: Pre-owned; see photos

SKU A1-MD-0001 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Nike,,,Not Confirmed
Draft,A1-MD-0002,,Adidas black logo-print capri athletic leggings,,14,1,,3000,"Adidas black logo-print capri athletic leggings

Brand: Adidas
Department: Women's Bottoms
Category: Women's Athletic Capri Leggings
Size: See measurements in photos
Color: Black with white and dark-gray logos
Pattern: Solid with oversized vertical Adidas wordmark
Condition: Pre-owned; full inspection pending

SKU A1-MD-0002 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Adidas,,Black with white and dark-gray logos,Women's Bottoms
Draft,A1-MD-0003,,Columbia Willapa River shorts,,22,1,,3000,"Columbia Willapa River shorts

Brand: Columbia
Department: Men's Bottoms
Category: Outdoor / Fishing Shorts
Size: See measurements in photos
Condition: Pre-owned; see photos

SKU A1-MD-0003 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Columbia,,,Men's Bottoms
Draft,A1-MD-0004,,Patagonia Baggies shorts,,35,1,,3000,"Patagonia Baggies shorts

Brand: Patagonia
Department: Men's Bottoms
Category: Outdoor Shorts
Size: See measurements in photos
Condition: Pre-owned; see photos

SKU A1-MD-0004 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Patagonia,,,Men's Bottoms
Draft,A1-MD-0005,,Vintage America Blues boyfriend jeans,,18,1,,3000,"Vintage America Blues boyfriend jeans

Brand: Vintage America Blues
Department: Women's Bottoms
Category: Boyfriend Jeans
Size: See measurements in photos
Condition: Pre-owned; see photos

SKU A1-MD-0005 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Vintage America Blues,,,Women's Bottoms
Draft,A1-MD-0006,,Forenza leather jacket,,30,1,,3000,"Forenza leather jacket

Brand: Forenza
Department: Other
Category: Leather Jacket
Size: See measurements in photos
Condition: Pre-owned; see photos

SKU A1-MD-0006 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Forenza,,,Other
Draft,A1-MD-0007,,New Balance navy running shorts,,12,1,,3000,"New Balance navy running shorts

Brand: New Balance
Department: Not Confirmed
Category: Running Shorts
Size: See measurements in photos
Color: Navy
Condition: Pre-owned; see photos

SKU A1-MD-0007 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,New Balance,,Navy,Not Confirmed
Draft,A1-MD-0008,,Lauren Ralph Lauren ribbed lace-up 3/4 sleeve top Size M,,15,1,,3000,"Lauren Ralph Lauren ribbed lace-up 3/4 sleeve top Size M

Brand: Lauren Ralph Lauren
Department: Women's Tops
Category: Top / Blouse
Size: M
Color: Peach / Blush Pink
Pattern: Solid vertical ribbed knit
Condition: Good pre-owned; final inspection required

SKU A1-MD-0008 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Lauren Ralph Lauren,M,Peach / Blush Pink,Women's Tops
Draft,A1-MD-0009,,Under Armour HeatGear loose-fit performance polo Size M,,13,1,,3000,"Under Armour HeatGear loose-fit performance polo Size M

Brand: Under Armour
Department: Men's Tops
Category: Polo Shirt
Size: M
Color: Teal / Aqua Green
Pattern: Heathered
Condition: Good pre-owned; pending final inspection

SKU A1-MD-0009 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Under Armour,M,Teal / Aqua Green,Men's Tops
Draft,A1-MD-0010,,Marvel Captain America all-over-print short-sleeve button-up shirt Size M,,8,1,,3000,"Marvel Captain America all-over-print short-sleeve button-up shirt Size M

Brand: Marvel
Department: Men's Tops
Category: Casual Button-Down Shirt
Size: M
Color: Beige / Tan with red, white, and blue graphics
Pattern: Captain America shield and Avengers-style emblem all-over print
Condition: Fair / Damaged

SKU A1-MD-0010 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Marvel,M,"Beige / Tan with red, white, and blue graphics",Men's Tops
Draft,A1-MD-0011,,Dockers short-sleeve button-down shirt Size M,,12,1,,3000,"Dockers short-sleeve button-down shirt Size M

Brand: Dockers
Department: Men's Tops
Category: Casual Button-Down Shirt
Size: M
Color: Dark navy
Pattern: Solid
Condition: Good pre-owned; final inspection required

SKU A1-MD-0011 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Dockers,M,Dark navy,Men's Tops
Draft,A1-MD-0012,,Stitch Beachwear tropical short-sleeve button-down shirt Size L,,18,1,,3000,"Stitch Beachwear tropical short-sleeve button-down shirt Size L

Brand: Stitch Beachwear
Department: Men's Tops
Category: Hawaiian / Casual Button-Down Shirt
Size: L
Color: Cream / navy blue / turquoise / mustard
Pattern: Tropical monstera leaf and tiki print
Condition: Good pre-owned; final inspection required

SKU A1-MD-0012 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Stitch Beachwear,L,Cream / navy blue / turquoise / mustard,Men's Tops
Draft,A1-MD-0013,,Callaway Golf Sport short-sleeve polo shirt Size L,,8,1,,3000,"Callaway Golf Sport short-sleeve polo shirt Size L

Brand: Callaway Golf
Department: Men's Tops
Category: Golf Polo Shirt
Size: L
Color: White / off-white
Pattern: Solid pique knit
Condition: Fair / Stained

SKU A1-MD-0013 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Callaway Golf,L,White / off-white,Men's Tops
Draft,A1-MD-0014,,Under Armour HeatGear U Golf striped performance polo Size XL,,22,1,,3000,"Under Armour HeatGear U Golf striped performance polo Size XL

Brand: Under Armour
Department: Men's Tops
Category: Performance Golf Polo Shirt
Size: XL
Color: White / light gray with green and yellow logo
Pattern: Color-blocked with horizontal stripes
Condition: Good pre-owned; final inspection required

SKU A1-MD-0014 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Under Armour,XL,White / light gray with green and yellow logo,Men's Tops
Draft,A1-MD-0015,,Abercrombie & Fitch floral super-slim stretch short-sleeve button-up shirt Size,,18,1,,3000,"Abercrombie & Fitch floral super-slim stretch short-sleeve button-up shirt Size

Brand: Abercrombie & Fitch
Department: Men's Tops
Category: Casual Button-Down Shirt
Size: S
Color: Dark navy / charcoal with red, cream, and muted floral print
Pattern: Ditsy floral
Condition: Good pre-owned; final inspection required

SKU A1-MD-0015 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Abercrombie & Fitch,S,"Dark navy / charcoal with red, cream, and muted floral print",Men's Tops
Draft,A1-MD-0016,,Wrangler Authentic Series 75 plaid short-sleeve button-down shirt,,12,1,,3000,"Wrangler Authentic Series 75 plaid short-sleeve button-down shirt

Brand: Wrangler
Department: Men's Tops
Category: Casual Button-Down Shirt
Size: See measurements in photos
Color: Cream / light khaki with muted blue and red
Pattern: Plaid
Condition: Good pre-owned; final inspection required

SKU A1-MD-0016 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Wrangler,,Cream / light khaki with muted blue and red,Men's Tops
Draft,A1-MD-0017,,Mercedes by Carol black tonal-striped short-sleeve polo shirt Size L,,12,1,,3000,"Mercedes by Carol black tonal-striped short-sleeve polo shirt Size L

Brand: Mercedes by Carol
Department: Men's Tops
Category: Polo Shirt
Size: L
Color: Black
Pattern: Solid with subtle tonal vertical stripes
Condition: Good pre-owned; final inspection required

SKU A1-MD-0017 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Mercedes by Carol,L,Black,Men's Tops
Draft,A1-MD-0018,,Van Heusen Wrinkle Free plaid short-sleeve button-down shirt,,11,1,,3000,"Van Heusen Wrinkle Free plaid short-sleeve button-down shirt

Brand: Van Heusen
Department: Men's Tops
Category: Casual Button-Down Shirt
Size: See measurements in photos
Color: Cream / off-white with blue and red lines
Pattern: Windowpane plaid / check
Condition: Good pre-owned; final inspection required

SKU A1-MD-0018 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Van Heusen,,Cream / off-white with blue and red lines,Men's Tops
Draft,A1-MD-0019,,Nautica nautical signal-flags front-and-back graphic T-shirt Size XXL / 2XL,,10,1,,3000,"Nautica nautical signal-flags front-and-back graphic T-shirt Size XXL / 2XL

Brand: Nautica
Department: Men's Tops
Category: Graphic T-Shirt
Size: XXL / 2XL
Color: Royal blue
Pattern: Solid with nautical signal-flag graphics
Condition: Good pre-owned with graphic wear; final inspection required

SKU A1-MD-0019 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Nautica,XXL / 2XL,Royal blue,Men's Tops
Draft,A1-MD-0020,,Daniel Cremieux Signature Collection coral short-sleeve polo Size L,,15,1,,3000,"Daniel Cremieux Signature Collection coral short-sleeve polo Size L

Brand: Daniel Cremieux Signature Collection
Department: Men's Tops
Category: Golf Polo Shirt
Size: L
Color: Coral / salmon
Pattern: Solid pique knit
Condition: Good pre-owned; final inspection required

SKU A1-MD-0020 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Daniel Cremieux Signature Collection,L,Coral / salmon,Men's Tops
Draft,A1-MD-0021,,American Eagle Outfitters Ahh-Mazingly Soft slim-fit green plaid flannel shirt,,12,1,,3000,"American Eagle Outfitters Ahh-Mazingly Soft slim-fit green plaid flannel shirt

Brand: American Eagle Outfitters
Department: Women's Tops
Category: Flannel Button-Down Shirt
Size: S
Color: Dark green, navy/black, cream, and mustard yellow
Pattern: Tartan plaid with herringbone accent weave
Condition: Good pre-owned; final inspection required

SKU A1-MD-0021 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,American Eagle Outfitters,S,"Dark green, navy/black, cream, and mustard yellow",Women's Tops
Draft,A1-MD-0022,,Paper Crane ribbed cropped cardigan and camisole twinset Size M,,18,1,,3000,"Paper Crane ribbed cropped cardigan and camisole twinset Size M

Brand: Paper Crane
Department: Women's Tops
Category: Cardigan & Tank Top Set / Twinset
Size: M
Color: Rust / burnt orange / terracotta
Pattern: Solid ribbed knit
Condition: Good pre-owned; final inspection required

SKU A1-MD-0022 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Paper Crane,M,Rust / burnt orange / terracotta,Women's Tops
Draft,A1-MD-0023,,IZOD New England Oxford striped short-sleeve button-down shirt Size 18 1/2 / L,,12,1,,3000,"IZOD New England Oxford striped short-sleeve button-down shirt Size 18 1/2 / L

Brand: IZOD
Department: Men's Tops
Category: Casual / Dress Button-Down Shirt
Size: 18 1/2 / L
Color: Light blue and white
Pattern: Vertical stripes
Condition: Good pre-owned; final inspection required

SKU A1-MD-0023 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,IZOD,18 1/2 / L,Light blue and white,Men's Tops
Draft,A1-MD-0024,,Tommy Hilfiger Custom Fit windowpane plaid long-sleeve button-down shirt Size L,,12,1,,3000,"Tommy Hilfiger Custom Fit windowpane plaid long-sleeve button-down shirt Size L

Brand: Tommy Hilfiger
Department: Men's Tops
Category: Casual / Dress Button-Down Shirt
Size: L / 16 1/2-17
Color: Navy with light blue and red
Pattern: Windowpane plaid / check
Condition: Good pre-owned; final inspection required

SKU A1-MD-0024 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Tommy Hilfiger,L / 16 1/2-17,Navy with light blue and red,Men's Tops
Draft,A1-MD-0025,,Under Armour ColdGear heather quarter-zip fleece pullover Size XL,,20,1,,3000,"Under Armour ColdGear heather quarter-zip fleece pullover Size XL

Brand: Under Armour
Department: Men's Tops
Category: Athletic Quarter-Zip Pullover
Size: XL
Color: Heathered blue-gray / teal with black trim
Pattern: Heathered solid
Condition: Good pre-owned; final inspection required

SKU A1-MD-0025 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Under Armour,XL,Heathered blue-gray / teal with black trim,Men's Tops
Draft,A1-MD-0026,,J.Crew red and blue gingham long-sleeve button-down shirt Size L,,14,1,,3000,"J.Crew red and blue gingham long-sleeve button-down shirt Size L

Brand: J.Crew
Department: Men's Tops
Category: Casual Button-Down Shirt
Size: L
Color: Red, bright blue, and burgundy
Pattern: Gingham check
Condition: Good pre-owned; final inspection required

SKU A1-MD-0026 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,J.Crew,L,"Red, bright blue, and burgundy",Men's Tops
Draft,A1-MD-0027,,Under Armour white gray and orange mesh racerback athletic tank top,,10,1,,3000,"Under Armour white gray and orange mesh racerback athletic tank top

Brand: Under Armour
Department: Women's Tops
Category: Athletic Racerback Tank Top
Size: See measurements in photos
Color: White / light gray with bright orange colorblock
Pattern: Heathered mesh stripe with colorblock panel
Condition: Good pre-owned; final inspection required

SKU A1-MD-0027 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Under Armour,,White / light gray with bright orange colorblock,Women's Tops
Draft,A1-MD-0028,,Ariat coral desert landscape agave graphic short-sleeve T-shirt Size M,,13,1,,3000,"Ariat coral desert landscape agave graphic short-sleeve T-shirt Size M

Brand: Ariat
Department: Women's Tops
Category: Graphic T-Shirt
Size: M
Color: Coral / salmon / peach
Pattern: Desert landscape and agave graphic
Condition: Good pre-owned with graphic wear; final inspection required

SKU A1-MD-0028 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Ariat,M,Coral / salmon / peach,Women's Tops
Draft,A1-MD-0029,,Under Armour HeatGear Alter Ego Superman loose-fit graphic T-shirt Size M,,20,1,,3000,"Under Armour HeatGear Alter Ego Superman loose-fit graphic T-shirt Size M

Brand: Under Armour
Department: Men's Tops
Category: Athletic Graphic T-Shirt
Size: M
Color: Navy blue with red, yellow, and gray
Pattern: Superman shield graphic
Condition: Good pre-owned with graphic wear; final inspection required

SKU A1-MD-0029 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Under Armour,M,"Navy blue with red, yellow, and gray",Men's Tops
Draft,A1-MD-0030,,St. John's Bay purple embroidered crinkle cotton peasant blouse Size L,,9,1,,3000,"St. John's Bay purple embroidered crinkle cotton peasant blouse Size L

Brand: St. John's Bay
Department: Women's Tops
Category: Peasant Blouse
Size: L
Color: Deep purple / plum with pink, white, and yellow embroidery
Pattern: Floral embroidery
Condition: Good pre-owned; final inspection required

SKU A1-MD-0030 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,St. John's Bay,L,"Deep purple / plum with pink, white, and yellow embroidery",Women's Tops
Draft,A1-MD-0032,,Adidas AEROREADY charcoal gray 3-Stripes short-sleeve athletic shirt Size M,,13,1,,3000,"Adidas AEROREADY charcoal gray 3-Stripes short-sleeve athletic shirt Size M

Brand: Adidas
Department: Men's Tops
Category: Athletic T-Shirt
Size: M
Color: Heather charcoal gray with white stripes and black logo
Pattern: Heathered solid with 3-Stripes
Condition: Good pre-owned; final inspection required

SKU A1-MD-0032 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Adidas,M,Heather charcoal gray with white stripes and black logo,Men's Tops
Draft,A2-MD-0034,,Royal blue solid short-sleeve polo shirt,,8,1,,3000,"Royal blue solid short-sleeve polo shirt

Brand: See photos — brand tag verification pending
Department: Not Confirmed
Category: Polo Shirt
Size: See measurements in photos
Color: Royal blue / cobalt blue
Pattern: Solid
Condition: Pre-owned; final inspection required

SKU A2-MD-0034 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Unbranded,,Royal blue / cobalt blue,Not Confirmed
Draft,A2-MD-0035,,Lands' End black elastic-waist straight-leg casual pants Size 42 Regular,,18,1,,3000,"Lands' End black elastic-waist straight-leg casual pants Size 42 Regular

Brand: Lands' End
Department: Men's Bottoms
Category: Casual Pants / Chinos
Size: 42 Regular
Color: Black
Pattern: Solid
Condition: Good pre-owned; final inspection required

SKU A2-MD-0035 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Lands' End,42 Regular,Black,Men's Bottoms
Draft,A2-MD-0036,,St. John's Bay pale yellow interlock polo with navy stripe trim Size S/P,,8,1,,3000,"St. John's Bay pale yellow interlock polo with navy stripe trim Size S/P

Brand: St. John's Bay
Department: Men's Tops
Category: Polo Shirt
Size: S/P
Color: Pale yellow / butter yellow
Pattern: Solid with striped trim
Condition: Pre-owned; needs final inspection

SKU A2-MD-0036 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,St. John's Bay,S/P,Pale yellow / butter yellow,Men's Tops
Draft,A2-MD-0037,,Brooks Brothers 346 olive green cotton chino pants Size W40/L30,,22,1,,3000,"Brooks Brothers 346 olive green cotton chino pants Size W40/L30

Brand: Brooks Brothers 346
Department: Men's Bottoms
Category: Chino Pants / Casual Pants
Size: W40/L30
Color: Olive green
Pattern: Solid
Condition: Good pre-owned; final inspection required

SKU A2-MD-0037 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Brooks Brothers 346,W40/L30,Olive green,Men's Bottoms
Draft,A2-MD-0038,,Columbia Sportswear Company Columbia KM5080 black burgundy colorblock nylon,,28,1,,3000,"Columbia Sportswear Company Columbia KM5080 black burgundy colorblock nylon

Brand: Columbia Sportswear Company
Department: Men's Tops
Category: Windbreaker Jacket / Lightweight Outerwear
Size: Men's M
Color: Black / burgundy / maroon
Pattern: Colorblock
Condition: Good pre-owned; final inspection required

SKU A2-MD-0038 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Columbia Sportswear Company,Men's M,Black / burgundy / maroon,Men's Tops
Draft,A2-MD-0039,,Space Exploration Technologies Corp. label SpaceX lavender-gray organic cotton,,35,1,,3000,"Space Exploration Technologies Corp. label SpaceX lavender-gray organic cotton

Brand: Space Exploration Technologies Corp. label
Department: Not Confirmed
Category: Full-Zip Hoodie / Sweatshirt
Size: L
Color: Lavender-gray / light purple
Pattern: Solid
Condition: Pre-owned; needs final inspection and authenticity review

SKU A2-MD-0039 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Space Exploration Technologies Corp. label,L,Lavender-gray / light purple,Not Confirmed
Draft,A2-MD-0040,,American Eagle Outfitters American Eagle white stretch five-pocket jeans Size,,16,1,,3000,"American Eagle Outfitters American Eagle white stretch five-pocket jeans Size

Brand: American Eagle Outfitters
Department: Women's Bottoms
Category: Women's Jeans / Denim Pants
Size: Approx. 31x27.5
Color: White / ivory
Pattern: Solid
Condition: Fair pre-owned; visible marks and wear

SKU A2-MD-0040 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,American Eagle Outfitters,Approx. 31x27.5,White / ivory,Women's Bottoms
Draft,A2-MD-0042,,Mondetta Performance + Luxury black straight-leg stretch pants Size M,,16,1,,3000,"Mondetta Performance + Luxury black straight-leg stretch pants Size M

Brand: Mondetta
Department: Women's Bottoms
Category: Women's Active Pants / Pull-On Straight-Leg Pants
Size: M
Color: Black / charcoal
Pattern: Solid
Condition: Pre-owned; final inspection required

SKU A2-MD-0042 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Mondetta,M,Black / charcoal,Women's Bottoms
Draft,A2-MD-0043,,Nike Sphere charcoal gray textured mesh V-neck performance shirt Size M,,20,1,,3000,"Nike Sphere charcoal gray textured mesh V-neck performance shirt Size M

Brand: Nike Sphere
Department: Men's Tops
Category: Athletic Performance T-Shirt
Size: M
Color: Charcoal gray / dark gray
Pattern: Solid textured mesh
Condition: Good pre-owned; final inspection required

SKU A2-MD-0043 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Nike Sphere,M,Charcoal gray / dark gray,Men's Tops
Draft,A2-MD-0044,,Levi's faded black denim trucker jacket Size Approx. 18x19,,29.95,1,,3000,"Levi's faded black denim trucker jacket Size Approx. 18x19

Brand: Levi's
Department: Other
Category: Denim Trucker Jacket / Jean Jacket
Size: Approx. 18x19
Color: Faded black / charcoal gray
Pattern: Solid
Condition: Good pre-owned; visible fading and final inspection required

SKU A2-MD-0044 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",FixedPrice,Levi's,Approx. 18x19,Faded black / charcoal gray,Other
