Title,SKU,Brand,Size,Color,Condition,Category,Department,Price,Quantity,Description,Current Status,Target Platforms
Nike shorts,A1-MD-0001,Nike,,,Pre-owned,Athletic Shorts,Not Confirmed,12,1,"Nike shorts

Brand: Nike
Department: Not Confirmed
Category: Athletic Shorts
Size: See measurements in photos
Condition: Pre-owned; see photos

SKU A1-MD-0001 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Adidas black logo-print capri athletic leggings,A1-MD-0002,Adidas,,Black with white and dark-gray logos,Pre-owned,Women's Athletic Capri Leggings,Women's Bottoms,14,1,"Adidas black logo-print capri athletic leggings

Brand: Adidas
Department: Women's Bottoms
Category: Women's Athletic Capri Leggings
Size: See measurements in photos
Color: Black with white and dark-gray logos
Pattern: Solid with oversized vertical Adidas wordmark
Condition: Pre-owned; full inspection pending

SKU A1-MD-0002 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Needs Review,Poshmark / eBay
Columbia Willapa River shorts,A1-MD-0003,Columbia,,,Pre-owned,Outdoor / Fishing Shorts,Men's Bottoms,22,1,"Columbia Willapa River shorts

Brand: Columbia
Department: Men's Bottoms
Category: Outdoor / Fishing Shorts
Size: See measurements in photos
Condition: Pre-owned; see photos

SKU A1-MD-0003 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Patagonia Baggies shorts,A1-MD-0004,Patagonia,,,Pre-owned,Outdoor Shorts,Men's Bottoms,35,1,"Patagonia Baggies shorts

Brand: Patagonia
Department: Men's Bottoms
Category: Outdoor Shorts
Size: See measurements in photos
Condition: Pre-owned; see photos

SKU A1-MD-0004 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Vintage America Blues boyfriend jeans,A1-MD-0005,Vintage America Blues,,,Pre-owned,Boyfriend Jeans,Women's Bottoms,18,1,"Vintage America Blues boyfriend jeans

Brand: Vintage America Blues
Department: Women's Bottoms
Category: Boyfriend Jeans
Size: See measurements in photos
Condition: Pre-owned; see photos

SKU A1-MD-0005 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Forenza leather jacket,A1-MD-0006,Forenza,,,Pre-owned,Leather Jacket,Other,30,1,"Forenza leather jacket

Brand: Forenza
Department: Other
Category: Leather Jacket
Size: See measurements in photos
Condition: Pre-owned; see photos

SKU A1-MD-0006 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
New Balance navy running shorts,A1-MD-0007,New Balance,,Navy,Pre-owned,Running Shorts,Not Confirmed,12,1,"New Balance navy running shorts

Brand: New Balance
Department: Not Confirmed
Category: Running Shorts
Size: See measurements in photos
Color: Navy
Condition: Pre-owned; see photos

SKU A1-MD-0007 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Lauren Ralph Lauren ribbed lace-up 3/4 sleeve top Size M,A1-MD-0008,Lauren Ralph Lauren,M,Peach / Blush Pink,Pre-owned,Top / Blouse,Women's Tops,15,1,"Lauren Ralph Lauren ribbed lace-up 3/4 sleeve top Size M

Brand: Lauren Ralph Lauren
Department: Women's Tops
Category: Top / Blouse
Size: M
Color: Peach / Blush Pink
Pattern: Solid vertical ribbed knit
Condition: Good pre-owned; final inspection required

SKU A1-MD-0008 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Under Armour HeatGear loose-fit performance polo Size M,A1-MD-0009,Under Armour,M,Teal / Aqua Green,Pre-owned,Polo Shirt,Men's Tops,13,1,"Under Armour HeatGear loose-fit performance polo Size M

Brand: Under Armour
Department: Men's Tops
Category: Polo Shirt
Size: M
Color: Teal / Aqua Green
Pattern: Heathered
Condition: Good pre-owned; pending final inspection

SKU A1-MD-0009 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Marvel Captain America all-over-print short-sleeve button-up shirt Size M,A1-MD-0010,Marvel,M,"Beige / Tan with red, white, and blue graphics",Pre-owned,Casual Button-Down Shirt,Men's Tops,8,1,"Marvel Captain America all-over-print short-sleeve button-up shirt Size M

Brand: Marvel
Department: Men's Tops
Category: Casual Button-Down Shirt
Size: M
Color: Beige / Tan with red, white, and blue graphics
Pattern: Captain America shield and Avengers-style emblem all-over print
Condition: Fair / Damaged

SKU A1-MD-0010 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Dockers short-sleeve button-down shirt Size M,A1-MD-0011,Dockers,M,Dark navy,Pre-owned,Casual Button-Down Shirt,Men's Tops,12,1,"Dockers short-sleeve button-down shirt Size M

Brand: Dockers
Department: Men's Tops
Category: Casual Button-Down Shirt
Size: M
Color: Dark navy
Pattern: Solid
Condition: Good pre-owned; final inspection required

SKU A1-MD-0011 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Stitch Beachwear tropical short-sleeve button-down shirt Size L,A1-MD-0012,Stitch Beachwear,L,Cream / navy blue / turquoise / mustard,Pre-owned,Hawaiian / Casual Button-Down Shirt,Men's Tops,18,1,"Stitch Beachwear tropical short-sleeve button-down shirt Size L

Brand: Stitch Beachwear
Department: Men's Tops
Category: Hawaiian / Casual Button-Down Shirt
Size: L
Color: Cream / navy blue / turquoise / mustard
Pattern: Tropical monstera leaf and tiki print
Condition: Good pre-owned; final inspection required

SKU A1-MD-0012 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Callaway Golf Sport short-sleeve polo shirt Size L,A1-MD-0013,Callaway Golf,L,White / off-white,Pre-owned,Golf Polo Shirt,Men's Tops,8,1,"Callaway Golf Sport short-sleeve polo shirt Size L

Brand: Callaway Golf
Department: Men's Tops
Category: Golf Polo Shirt
Size: L
Color: White / off-white
Pattern: Solid pique knit
Condition: Fair / Stained

SKU A1-MD-0013 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Under Armour HeatGear U Golf striped performance polo Size XL,A1-MD-0014,Under Armour,XL,White / light gray with green and yellow logo,Pre-owned,Performance Golf Polo Shirt,Men's Tops,22,1,"Under Armour HeatGear U Golf striped performance polo Size XL

Brand: Under Armour
Department: Men's Tops
Category: Performance Golf Polo Shirt
Size: XL
Color: White / light gray with green and yellow logo
Pattern: Color-blocked with horizontal stripes
Condition: Good pre-owned; final inspection required

SKU A1-MD-0014 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Abercrombie & Fitch floral super-slim stretch short-sleeve button-up shirt Size,A1-MD-0015,Abercrombie & Fitch,S,"Dark navy / charcoal with red, cream, and muted floral print",Pre-owned,Casual Button-Down Shirt,Men's Tops,18,1,"Abercrombie & Fitch floral super-slim stretch short-sleeve button-up shirt Size

Brand: Abercrombie & Fitch
Department: Men's Tops
Category: Casual Button-Down Shirt
Size: S
Color: Dark navy / charcoal with red, cream, and muted floral print
Pattern: Ditsy floral
Condition: Good pre-owned; final inspection required

SKU A1-MD-0015 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Wrangler Authentic Series 75 plaid short-sleeve button-down shirt,A1-MD-0016,Wrangler,,Cream / light khaki with muted blue and red,Pre-owned,Casual Button-Down Shirt,Men's Tops,12,1,"Wrangler Authentic Series 75 plaid short-sleeve button-down shirt

Brand: Wrangler
Department: Men's Tops
Category: Casual Button-Down Shirt
Size: See measurements in photos
Color: Cream / light khaki with muted blue and red
Pattern: Plaid
Condition: Good pre-owned; final inspection required

SKU A1-MD-0016 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
