#INFO,Version=0.0.2,Template= eBay-draft-listings-template_US,,,,,,,,
#INFO Action and Category ID are required fields. 1) Set Action to Draft 2) Please find the category ID for your listing here: https://pages.ebay.com/sellerinformation/news/categorychanges.html,,,,,,,,,,
"#INFO After you've successfully uploaded your draft from the Seller Hub Reports page, complete your drafts to active listings here: https://www.ebay.com/sh/lst/drafts",,,,,,,,,,
Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),Custom label (SKU),Category ID,Title,UPC,Price,Quantity,Item photo URL,Condition ID,Description,Format
Draft,A1-MD-0001,15689,Nike Athletic Shorts Performance Activewear,,12.00,1,,USED_EXCELLENT,"Nike athletic shorts. Size, color, material, exact features, and condition are not yet confirmed; verify the item and measurements before publishing.<br><ul><li>Brand: Nike</li></ul><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0002,169001,Adidas Womens Black Capri Leggings Large Logo Athletic Activewear,,14.00,1,,USED_EXCELLENT,"Adidas women's black cropped athletic leggings with a wide waistband, small white performance logo near the hip, and oversized dark-gray vertical adidas wordmark down the right leg. Fitted activewear silhouette. Size, material, country, measurements, and complete condition details remain unconfirmed until the remaining item photos are supplied.<br><ul><li>Brand: Adidas</li><li>Color: Black with white and dark-gray logos</li><li>Pattern: Solid with oversized vertical Adidas wordmark</li><li>Style: Wide stretch waistband; capri/cropped length; small white Adidas performance logo near right hip; oversized dark-gray vertical adidas wordmark down right leg; fitted athletic silhouette</li><li>Condition: Pre-owned; full inspection pending</li></ul><br><p>Condition notes: Current front image matches the existing Adidas leggings record. Front appears black with a small white Adidas logo at the hip and a large dark-gray vertical adidas wordmark on the right leg. Back view, size tag, material/care tag, measurements, and complete flaw inspection are still required before final listing and market research.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0003,15689,Columbia Willapa River Men's Outdoor Fishing Shorts,,22.00,1,,USED_EXCELLENT,"Columbia Willapa River outdoor shorts. Size, color, material, exact style details, and condition remain unconfirmed; verify the care and style tags before listing.<br><ul><li>Brand: Columbia</li><li>Style: Willapa River model/name; verify exact style tag</li></ul><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0004,15689,Patagonia Baggies Men's Outdoor Shorts,,35.00,1,,USED_EXCELLENT,"Patagonia Baggies outdoor shorts. Verify size, inseam, liner, material, gender, and condition before publishing the final listing.<br><ul><li>Brand: Patagonia</li><li>Style: Baggies product line; verify inseam and liner</li></ul><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0005,11554,Vintage America Blues Women's Boyfriend Jeans Relaxed Fit,,18.00,1,,USED_EXCELLENT,"Vintage America Blues boyfriend jeans with a relaxed silhouette. Size, wash, rise, material, measurements, and condition must be confirmed before listing.<br><ul><li>Brand: Vintage America Blues</li><li>Style: Boyfriend fit</li></ul><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0006,57988,Forenza Leather Jacket Vintage Outerwear,,30.00,1,,USED_EXCELLENT,"Forenza jacket identified as a leather style. Genuine leather, size, department, lining, measurements, and condition are not confirmed and must be verified before publishing.<br><ul><li>Brand: Forenza</li><li>Style: Leather outerwear; verify genuine leather and construction</li></ul><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0007,15689,New Balance Navy Running Shorts Athletic Activewear,,12.00,1,,USED_EXCELLENT,"New Balance navy running shorts. Verify size, gender, material, liner, pockets, measurements, and condition before publishing.<br><ul><li>Brand: New Balance</li><li>Color: Navy</li><li>Style: Running style; verify liner and pockets</li></ul><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0008,53159,Lauren Ralph Lauren Women's Ribbed Lace-Up 3/4 Sleeve Top M Peach,,15.00,1,,USED_EXCELLENT,"Lauren Ralph Lauren women's size M peach-blush ribbed top with a lace-up split neckline, fitted shape, and three-quarter sleeves. Good pre-owned condition with light wrinkling; inspect for minor marks before listing.<br><ul><li>Brand: Lauren Ralph Lauren</li><li>Size: M</li><li>Color: Peach / Blush Pink</li><li>Pattern: Solid vertical ribbed knit</li><li>Style: Lace-up split neckline; fitted silhouette; three-quarter sleeves; ribbed texture; straight hem</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: No obvious holes or tears visible in the supplied front/back images. Light wrinkling and minor surface marks or lint may be present; complete stain and fabric inspection before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0009,185100,Under Armour HeatGear Men's Loose Performance Golf Polo M Teal,,13.00,1,,USED_EXCELLENT,"Under Armour HeatGear men's size M teal heathered performance polo with a loose fit, three-button placket, chest logo, rear-neck logo, and side vents. Good pre-owned condition; inspect for snags, pilling, and collar wear.<br><ul><li>Brand: Under Armour</li><li>Size: M</li><li>Color: Teal / Aqua Green</li><li>Pattern: Heathered</li><li>Style: Short sleeves; collared neckline; three-button placket; loose fit; HeatGear line; black chest logo; black rear-neck logo; side hem vents</li><li>Condition: Good pre-owned; pending final inspection</li></ul><br><p>Condition notes: No obvious holes, tears, or major stains visible in the supplied images. Inspect closely for snags, pulls, pilling, deodorant marks, and collar wear.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0010,57990,Marvel Captain America Men's Button-Up Shirt M All Over Print AS IS,,8.00,1,,USED_ACCEPTABLE,"Licensed Marvel men's size M Captain America all-over-print short-sleeve button-up with chest pocket. Fair damaged condition with a large torn and frayed area near the back-left underarm or side seam plus lower-hem wear; sold as-is.<br><ul><li>Brand: Marvel</li><li>Size: M</li><li>Color: Beige / Tan with red, white, and blue graphics</li><li>Pattern: Captain America shield and Avengers-style emblem all-over print</li><li>Style: Short sleeves; pointed collar; black button-front closure; chest pocket; licensed Marvel character print</li><li>Condition: Fair / Damaged</li></ul><br><p>Condition notes: Visible large tear and heavy fraying on the back-left side near the underarm/side seam, plus visible lower-hem wear or discoloration. Photograph defects closely and disclose them prominently. Newly supplied neck-tag photo confirms Marvel branding, size M, and Made in China.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
