id,name,brand,category,size,color,status,main_image_filename,main_image_file_id,source_image_count,source_image_file_ids,source_folder_url,instagram_status,notes
MD-0001,L.L.Bean gray quarter-zip pullover,L.L.Bean,Quarter-Zip Pullover,Verify size — supplied labels conflict,Gray,Photo Complete,IMG_4490-Photoroom.jpg,1oQ2JGT5AC09YaiBhOmEcAMQAY5EfLM72,25,1oQ2JGT5AC09YaiBhOmEcAMQAY5EfLM72;1X3yGg47-Bo-r6oXvfYVVVt4gFGjBav22;1lEGJDd5_gVelJ9ju2c40FEo06qChQxE7;1qex8SFpAfYgwg0bWETLU5HknpQqAsHHt;1OwrsaS2bEaHCDiTT0Z3BTHzvyHLxbfgV;1pz3KblImF1KPQ1n-e5M7vbGrinKe3qkg;1ENf8L0KL9Mp9pI-aZev1gb2oUQRgkBwH;1asd_0WnxndSxrUGY_59rjWx7MMNvc7RF;1qcZ2upzAwD-JjmrviOd0HY5yo5LFCKKp;1WphauFpG2CI4ypLJF_01gcldOuofLfm0;1D5BUEoZPfrqq0f3nK95AfckjinYg7wDC;1asrnNHEgzwzrARpY8MmLB6trPMybQ5In;1mFmH6gtf_chJxVO3cfbbwfffkrfjv8NF;1Gd0qwg6NgwpuycmPIYiZZlLSN71SJ-bH;1HNFdMZ5vUdMs-D0zYJlgxU4d0oqeuP1F;1kNMZdUWOEh0I6AiIql6-4h9r-yTuL4IH;1J6IT8pK6EuQlZ9J1_SAdQRm1qC-smJsb;1_9H7_ZyAgbTeGvFGR-zpHgI4Zn5l5xO3;1OB8xqgpL0nibbaWYtPnYe4YqvX0g1yeo;1V5ERHKBzNFc-xty38ynsqqY_szSXHaW4;1ON41NFfrgIegxWjEyfA9G6MdbJ9msW38;1o6gCw6_v-ruU8fT7xzVYyp9wlKQ2TZyb;1MQ7tPjufJQXJyWdx2oH2gQcAgiyEmvFH;1JLJfpR09bsh_t34mx5hl4uN3xuAjKYZe;16Wk1CAgwFoaSBkrFAOD9gkfWoloIvE0k,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4490–4514 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0002,Daniel Cremieux beige quarter-zip sweater,Daniel Cremieux,Quarter-Zip Sweater,Unknown,Beige / tan,Photo Complete,IMG_4516-Photoroom.jpg,1Cf6FucAYO595m54oM_uPdFmw7DP5bWAP,8,1LvZdk1CTzszYpvpJTDslsyitZFctDIP_;1Cf6FucAYO595m54oM_uPdFmw7DP5bWAP;1vpz2toxzPRMRnKhhRvkxzUDquEV5xqR9;1Tjdw7cG9wo_z40uOo4cPXmpgqqRlFzzZ;11-0D_ub7f0fnQpanbni6PJj82fU0uz7y;13fqB2SUROWVZPdBh7qmJNjgYE-X_1XxK;18nmTYdmE996M_cEfnJ8rhYjKwSQZYqaM;1_4_fToBeYVfR6Ie6f7wM3kMRKv17-ErN,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4515–4522 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0003,Tommy Hilfiger red polo shirt,Tommy Hilfiger,Polo Shirt,XLT,Red,Photo Complete,IMG_4523-Photoroom.jpg,1NHXME9hId-Gr7BLwLQPfjtv9MxvBXhPO,6,1NHXME9hId-Gr7BLwLQPfjtv9MxvBXhPO;1LQTxxPyhJSTp_OcRiKqf4P2H9OJliuT3;1Sr_GKlmIOhJZ4eEHuMPNXCssw47SUqig;1Ej_53ovgwVxlaHHxFQoYF8B5J1deMl7P;1yEObXNGO5BH_NHFbYNhxV5GQnoJZaeBU;15SZ0AFbMkcErxt7EuWcOJ7-Epbhy8uU0,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4523–4528 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0004,St. John's Bay blue chamois-cloth shirt,St. John's Bay,Long-Sleeve Button-Down Shirt,XL,Blue,Photo Complete,IMG_4529-Photoroom.jpg,1pPbbkf3E5a6Riwn3pH5T3_uhtJmjxRde,6,1pPbbkf3E5a6Riwn3pH5T3_uhtJmjxRde;1gbKR849-8ZiLiPDhrfGWrKxS6d8XK3rZ;1MPGMWlfgi2DBB5CvbREHsoGOlkpqAP7P;1T0XSRkg6CBMxaIvbxhaPu2FCxU2UU9Z1;1nRE3EHGWJ_p024JCETQVsE-tWRJ1tL-L;1GBh5dgEtsVWnPYBXAyi1zDf_RDXlTMx4,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4529–4534 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0005,Polo Ralph Lauren purple polo shirt,Polo Ralph Lauren,Polo Shirt,M,Purple,Photo Complete,IMG_4535-Photoroom.jpg,1A3b-7oHYDFjN6uu5Vr5UhfKRLp_NIlf8,6,1A3b-7oHYDFjN6uu5Vr5UhfKRLp_NIlf8;145DcTWvz526BkvfTHQazmfGFDwNLH5wR;1CdxW_L2rylnHom2xxPda0fuGnEJxk8Qf;1x0tJGxe0SZjQEJrr61H0fTjtdS5hF5ep;14vIRV2O9YpYfJ5TgEIQ9foTwIw8ctiBO;1M1PdeS6IHEVEGw7Pp4gbiKW2AWqy9_Hq,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4535–4542 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0006,Jordan Brand white graphic T-shirt,Jordan Brand,Graphic T-Shirt,L,White,Photo Complete,IMG_4543-Photoroom.jpg,1PS5eDNt2-tJfiapwkDFzOojBMWMsiSdR,4,1PS5eDNt2-tJfiapwkDFzOojBMWMsiSdR;1KUFoLVDcl8-ivQr25iAAOElX5HwggOln;1aKZB3iNluU-DO8INhbw5sIKG4w1Q61Zy;1pfPrq333_sAZkzKVMBZO-K509sZdZQ2J,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4543–4546 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0007,Daniel Cremieux brown V-neck knit sweater,Daniel Cremieux,V-Neck Sweater,M,Brown,Photo Complete,IMG_4547-Photoroom.jpg,1xhv2GGtlRM00qzmH3-HsrhfHPQGvMDpF,8,1xhv2GGtlRM00qzmH3-HsrhfHPQGvMDpF;1HOU3OrbZARbD84ZJ4iC6YrBSk08Xj8EN;1XCYZgt_v6-Go25TWdo02Nv6vf6kRA4S7;1Xb9zZVS80B-8SHdP6BQJ8-izmV29XdNN;1VfGL1S9vriM0i6ElJPjZOjnz2vA5naFi;1ZDbLk44FY-hjJ1ki52b7mhHiioiExo92;10-ohH0pbRiI6ULc2ezw85PKOA6vP54Dn;1Sa_XTeQHnL5vEDQrgL7GnFSWu5i-SBM8,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4547–4556 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0008,Eddie Bauer gray quarter-zip pullover,Eddie Bauer,Quarter-Zip Pullover,XL,Gray,Photo Complete,IMG_4561-Photoroom.jpg,1-NDMUhydGJnBR55Dvc-fzO3Vf5clgxDo,9,1UbtAjJZ5QSEq6yYvw3l0trJMTk3brJ7n;1-NDMUhydGJnBR55Dvc-fzO3Vf5clgxDo;1celm5s_jWstJBinOEVGvMPOwglZsu8K2;1to9zGy0BJjhsTYyFfdF99BCvtZgRQ2WG;179DvoHgKW8psVA0Twhow-jVH1sZ9gt4E;17lEdPGeBXDYZTVAeUF5dwA2FsiEB0wsR;1rY0ylHDT9MEkL-b1Lz_tMbMUcearY7gu;1Y2rUdqWTxQ4mOy7uSs_Vkim4dshg_x7g;1n8ywvPmWAkiy7gX2qCqJ-KmWj8TsYlrW,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4559–4570 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0009,Polo Ralph Lauren gray polo shirt,Polo Ralph Lauren,Polo Shirt,S,Gray,Photo Complete,IMG_4574-Photoroom.jpg,1aOzsst6MJbVJiVhJn4K1aj9rCmlB6w8z,5,1aOzsst6MJbVJiVhJn4K1aj9rCmlB6w8z;1w3ZUvQIpiktgWlD33flp2hUkBpA95HP1;1WVxpzcQBR5Txh5AwuSmeOCxfCPHWvBAG;1rhgl5WpemDRidL8dhXFQzWqxVVegV30_;1yNSo4r0bsYu6h9IKuiimo38Vyo96PcIy,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4574–4580 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0010,Nike New Orleans Saints Dri-FIT polo shirt,Nike,Polo Shirt,2XL,Black,Photo Complete,IMG_4582-Photoroom.jpg,1BhUJqQDmZNn3LLUyI-aKSyWZe09cBDKK,3,1BhUJqQDmZNn3LLUyI-aKSyWZe09cBDKK;1xqbFWwM2QrFf8OSkbPbgtRQIfwFO6CCZ;1Dv9paZxf8zDTr9qL6kpFGS1RG2DC7SwD,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4582–4586 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
